序号,级别,编号1,编号2,编号3,编号4,类别,x,y,z,粗细,成熟度,上节点,下节点
366,2,7,2,,,采样点,-1.8267,0.8856,-8.6691,0.0934,0.825,,
367,2,7,3,,,采样点,-1.854,0.843,-8.7848,0.0929,0.825,,
368,2,7,4,,,采样点,-1.8795,0.7967,-8.899,0.0924,0.825,,
369,2,7,5,,,采样点,-1.903,0.7471,-9.0116,0.092,0.825,,
370,2,7,6,,,采样点,-1.9249,0.6943,-9.1228,0.0915,0.825,,
371,2,7,7,,,采样点,-1.9451,0.6384,-9.2326,0.091,0.825,,
372,2,7,8,,,采样点,-1.9639,0.5798,-9.3411,0.0905,0.825,,
373,2,7,9,,,采样点,-1.9812,0.5184,-9.4484,0.0899,0.825,,
374,2,7,10,,,采样点,-1.9972,0.4546,-9.5545,0.0894,0.825,,
375,2,7,11,,,采样点,-2.0121,0.3886,-9.6596,0.0888,0.825,,
376,2,7,12,,,采样点,-2.0259,0.3204,-9.7636,0.0882,0.825,,
377,2,7,13,,,采样点,-2.0387,0.2503,-9.8666,0.0877,0.825,,
378,2,7,14,,,采样点,-2.0506,0.1784,-9.9688,0.0871,0.825,,
379,2,7,15,,,采样点,-2.0618,0.1051,-10.0702,0.0864,0.825,,
380,2,7,16,,,采样点,-2.0724,0.0303,-10.1708,0.0858,0.825,,
381,2,7,17,,,采样点,-2.0824,-0.0457,-10.2708,0.0851,0.825,,
382,2,7,18,,,采样点,-2.092,-0.1226,-10.3701,0.0844,0.825,,
383,2,7,19,,,采样点,-2.1013,-0.2004,-10.469,0.0837,0.825,,
384,2,7,20,,,采样点,-2.1103,-0.2789,-10.5674,0.0829,0.825,,
385,2,7,21,,,采样点,-2.1193,-0.3578,-10.6654,0.0822,0.825,,
386,2,7,22,,,采样点,-2.1283,-0.4369,-10.7632,0.0813,0.825,,
387,2,7,23,,,采样点,-2.1374,-0.5162,-10.8607,0.0805,0.825,,
388,2,7,24,,,采样点,-2.1468,-0.5954,-10.958,0.0796,0.825,,
389,2,7,25,,,采样点,-2.1565,-0.6743,-11.0552,0.0786,0.825,,
390,2,7,26,,,采样点,-2.1666,-0.7527,-11.1524,0.0776,0.825,,
391,2,7,27,,,采样点,-2.1773,-0.8306,-11.2497,0.0765,0.825,,
392,2,7,28,,,采样点,-2.1886,-0.9076,-11.3471,0.0754,0.825,,
393,2,7,29,,,采样点,-2.2008,-0.9836,-11.4446,0.0741,0.825,,
394,2,7,30,,,采样点,-2.2138,-1.0584,-11.5425,0.0727,0.825,,
395,2,7,31,,,采样点,-2.2278,-1.1318,-11.6407,0.0712,0.825,,
396,2,7,32,,,采样点,-2.2429,-1.2037,-11.7393,0.0695,0.825,,
397,2,7,33,,,采样点,-2.2592,-1.2739,-11.8383,0.0676,0.825,,
398,2,7,34,,,采样点,-2.2768,-1.3422,-11.9379,0.0654,0.825,,
399,2,7,35,,,采样点,-2.2958,-1.4083,-12.0382,0.0627,0.825,,
400,2,7,36,,,采样点,-2.3164,-1.4722,-12.1391,0.0595,0.825,,
401,2,7,37,,,采样点,-2.3386,-1.5336,-12.2408,0.0555,0.825,,
402,2,7,38,,,采样点,-2.3626,-1.5924,-12.3433,0.0509,0.825,,
403,2,7,39,,,采样点,-2.3885,-1.6483,-12.4467,0.0465,0.825,,
404,2,7,40,,,采样点,-2.4163,-1.7013,-12.5511,0.0431,0.825,,
405,2,7,41,,,采样点,-2.4462,-1.751,-12.6566,0.0403,0.825,,
406,2,7,42,,,采样点,-2.4782,-1.7974,-12.7632,0.0381,0.825,,
407,2,7,43,,,采样点,-2.5126,-1.8402,-12.8709,0.0362,0.825,,
408,2,7,44,,,采样点,-2.5494,-1.8793,-12.98,0.0345,0.825,,
409,2,7,45,,,采样点,-2.5887,-1.9144,-13.0903,0.0331,0.825,,
410,2,7,46,,,采样点,-2.6306,-1.9455,-13.2021,0.0317,0.825,,
411,2,7,47,,,采样点,-2.6752,-1.9722,-13.3154,0.0305,0.825,,
412,2,7,48,,,采样点,-2.7227,-1.9945,-13.4302,0.0293,0.825,,
413,2,7,49,,,末节点,-2.7731,-2.0122,-13.5466,0.0283,0.825,,
414,2,7,50,,,控制点1,-2.2999,0.421,-10.3931,0.0943,0.825,,
415,2,7,51,,,控制点2,-1.9248,-1.7631,-11.6314,0.0943,0.825,,
416,3,8,0,,,首节点,-2.3331,-1.6695,-12.3317,0.0498,0.65,,
417,3,8,1,,,采样点,-2.3655,-1.7329,-12.3537,0.0495,0.65,,
418,3,8,2,,,采样点,-2.3975,-1.7942,-12.3771,0.0492,0.65,,
419,3,8,3,,,采样点,-2.4293,-1.8533,-12.4021,0.0488,0.65,,
420,3,8,4,,,采样点,-2.4608,-1.9104,-12.4285,0.0484,0.65,,
421,3,8,5,,,采样点,-2.4921,-1.9654,-12.4563,0.048,0.65,,
422,3,8,6,,,采样点,-2.5232,-2.0184,-12.4854,0.0476,0.65,,
423,3,8,7,,,采样点,-2.5541,-2.0694,-12.5158,0.0472,0.65,,
424,3,8,8,,,采样点,-2.5849,-2.1185,-12.5475,0.0468,0.65,,
425,3,8,9,,,采样点,-2.6157,-2.1658,-12.5803,0.0463,0.65,,
426,3,8,10,,,采样点,-2.6465,-2.2111,-12.6142,0.0458,0.65,,
427,3,8,11,,,采样点,-2.6773,-2.2546,-12.6492,0.0453,0.65,,
428,3,8,12,,,采样点,-2.7081,-2.2964,-12.6853,0.0448,0.65,,
429,3,8,13,,,采样点,-2.739,-2.3364,-12.7223,0.0442,0.65,,
430,3,8,14,,,采样点,-2.77,-2.3747,-12.7603,0.0435,0.65,,
431,3,8,15,,,采样点,-2.8013,-2.4113,-12.7991,0.0428,0.65,,
432,3,8,16,,,采样点,-2.8327,-2.4463,-12.8387,0.0421,0.65,,
433,3,8,17,,,采样点,-2.8643,-2.4798,-12.8791,0.0412,0.65,,
434,3,8,18,,,采样点,-2.8963,-2.5116,-12.9202,0.0403,0.65,,
435,3,8,19,,,采样点,-2.9286,-2.542,-12.962,0.0392,0.65,,
436,3,8,20,,,采样点,-2.9612,-2.5709,-13.0044,0.0378,0.65,,
437,3,8,21,,,采样点,-2.9943,-2.5983,-13.0473,0.0362,0.65,,
438,3,8,22,,,采样点,-3.0278,-2.6243,-13.0908,0.0342,0.65,,
439,3,8,23,,,采样点,-3.0618,-2.649,-13.1347,0.032,0.65,,
440,3,8,24,,,采样点,-3.0963,-2.6724,-13.179,0.03,0.65,,
441,3,8,25,,,采样点,-3.1313,-2.6945,-13.2237,0.0283,0.65,,
442,3,8,26,,,采样点,-3.167,-2.7153,-13.2687,0.027,0.65,,
443,3,8,27,,,采样点,-3.2033,-2.7349,-13.3139,0.0258,0.65,,
444,3,8,28,,,采样点,-3.2402,-2.7533,-13.3593,0.0249,0.65,,
445,3,8,29,,,采样点,-3.2779,-2.7706,-13.4049,0.024,0.65,,
446,3,8,30,,,采样点,-3.3164,-2.7868,-13.4506,0.0232,0.65,,
447,3,8,31,,,采样点,-3.3556,-2.802,-13.4963,0.0225,0.65,,
448,3,8,32,,,采样点,-3.3957,-2.8161,-13.542,0.0219,0.65,,
449,3,8,33,,,采样点,-3.4366,-2.8293,-13.5876,0.0213,0.65,,
450,3,8,34,,,采样点,-3.4784,-2.8415,-13.6332,0.0207,0.65,,
451,3,8,35,,,采样点,-3.5212,-2.8528,-13.6786,0.0202,0.65,,
452,3,8,36,,,采样点,-3.565,-2.8632,-13.7237,0.0197,0.65,,
453,3,8,37,,,采样点,-3.6099,-2.8728,-13.7686,0.0192,0.65,,
454,3,8,38,,,采样点,-3.6557,-2.8817,-13.8132,0.0188,0.65,,
455,3,8,39,,,采样点,-3.7027,-2.8897,-13.8574,0.0184,0.65,,
456,3,8,40,,,采样点,-3.7509,-2.8971,-13.9012,0.018,0.65,,
457,3,8,41,,,采样点,-3.8002,-2.9037,-13.9445,0.0176,0.65,,
458,3,8,42,,,采样点,-3.8507,-2.9098,-13.9873,0.0172,0.65,,
459,3,8,43,,,采样点,-3.9025,-2.9152,-14.0295,0.0169,0.65,,
460,3,8,44,,,采样点,-3.9556,-2.9201,-14.0711,0.0165,0.65,,
461,3,8,45,,,采样点,-4.0101,-2.9244,-14.112,0.0162,0.65,,
462,3,8,46,,,采样点,-4.0659,-2.9283,-14.1522,0.0159,0.65,,
463,3,8,47,,,采样点,-4.1232,-2.9317,-14.1916,0.0156,0.65,,
464,3,8,48,,,采样点,-4.1819,-2.9347,-14.2302,0.0153,0.65,,
465,3,8,49,,,末节点,-4.2421,-2.9373,-14.2679,0.015,0.65,,
466,3,8,50,,,控制点1,-2.8651,-2.7233,-12.6771,0.0498,0.65,,
467,3,8,51,,,控制点2,-3.2464,-2.8973,-13.6599,0.0498,0.65,,
468,3,9,0,,,首节点,-2.1994,-0.6459,-11.1362,0.0781,0.65,,
469,3,9,1,,,采样点,-2.122,-0.6454,-11.1921,0.0774,0.65,,
470,3,9,2,,,采样点,-2.0484,-0.6491,-11.2462,0.0767,0.65,,
471,3,9,3,,,采样点,-1.9787,-0.6569,-11.2985,0.0759,0.65,,
472,3,9,4,,,采样点,-1.9126,-0.6686,-11.3492,0.0751,0.65,,
473,3,9,5,,,采样点,-1.8502,-0.6842,-11.3982,0.0743,0.65,,
474,3,9,6,,,采样点,-1.7913,-0.7034,-11.4455,0.0734,0.65,,
475,3,9,7,,,采样点,-1.7359,-0.7262,-11.4912,0.0726,0.65,,
476,3,9,8,,,采样点,-1.684,-0.7524,-11.5354,0.0716,0.65,,
477,3,9,9,,,采样点,-1.6353,-0.782,-11.5779,0.0707,0.65,,
478,3,9,10,,,采样点,-1.59,-0.8149,-11.619,0.0697,0.65,,
479,3,9,11,,,采样点,-1.5478,-0.8508,-11.6586,0.0686,0.65,,
480,3,9,12,,,采样点,-1.5088,-0.8897,-11.6967,0.0675,0.65,,
481,3,9,13,,,采样点,-1.4728,-0.9314,-11.7333,0.0664,0.65,,
482,3,9,14,,,采样点,-1.4398,-0.9759,-11.7686,0.0652,0.65,,
483,3,9,15,,,采样点,-1.4097,-1.023,-11.8025,0.0639,0.65,,
484,3,9,16,,,采样点,-1.3825,-1.0725,-11.835,0.0626,0.65,,
485,3,9,17,,,采样点,-1.3579,-1.1245,-11.8663,0.0613,0.65,,
486,3,9,18,,,采样点,-1.3361,-1.1787,-11.8962,0.0599,0.65,,
487,3,9,19,,,采样点,-1.3169,-1.2351,-11.9249,0.0585,0.65,,
488,3,9,20,,,采样点,-1.3001,-1.2934,-11.9523,0.0571,0.65,,
489,3,9,21,,,采样点,-1.2859,-1.3537,-11.9786,0.0556,0.65,,
490,3,9,22,,,采样点,-1.274,-1.4157,-12.0037,0.0542,0.65,,
491,3,9,23,,,采样点,-1.2645,-1.4794,-12.0276,0.0528,0.65,,
492,3,9,24,,,采样点,-1.2572,-1.5446,-12.0505,0.0514,0.65,,
493,3,9,25,,,采样点,-1.252,-1.6112,-12.0723,0.05,0.65,,
494,3,9,26,,,采样点,-1.2489,-1.6791,-12.093,0.0487,0.65,,
495,3,9,27,,,采样点,-1.2479,-1.7482,-12.1127,0.0474,0.65,,
496,3,9,28,,,采样点,-1.2488,-1.8183,-12.1314,0.0461,0.65,,
497,3,9,29,,,采样点,-1.2515,-1.8893,-12.1492,0.0448,0.65,,
498,3,9,30,,,采样点,-1.2561,-1.9612,-12.166,0.0436,0.65,,
499,3,9,31,,,采样点,-1.2623,-2.0338,-12.1819,0.0424,0.65,,
500,3,9,32,,,采样点,-1.2703,-2.1069,-12.197,0.0412,0.65,,
501,3,9,33,,,采样点,-1.2797,-2.1804,-12.2112,0.04,0.65,,
502,3,9,34,,,采样点,-1.2907,-2.2543,-12.2246,0.0389,0.65,,
503,3,9,35,,,采样点,-1.3031,-2.3284,-12.2373,0.0378,0.65,,
504,3,9,36,,,采样点,-1.3169,-2.4026,-12.2492,0.0367,0.65,,
505,3,9,37,,,采样点,-1.3319,-2.4768,-12.2603,0.0356,0.65,,
506,3,9,38,,,采样点,-1.3482,-2.5508,-12.2708,0.0345,0.65,,
507,3,9,39,,,采样点,-1.3655,-2.6245,-12.2806,0.0335,0.65,,
508,3,9,40,,,采样点,-1.384,-2.6978,-12.2898,0.0324,0.65,,
509,3,9,41,,,采样点,-1.4034,-2.7706,-12.2984,0.0314,0.65,,
510,3,9,42,,,采样点,-1.4237,-2.8428,-12.3064,0.0304,0.65,,
511,3,9,43,,,采样点,-1.4448,-2.9142,-12.3139,0.0294,0.65,,
512,3,9,44,,,采样点,-1.4667,-2.9848,-12.3209,0.0283,0.65,,
513,3,9,45,,,采样点,-1.4893,-3.0543,-12.3273,0.0274,0.65,,
514,3,9,46,,,采样点,-1.5125,-3.1228,-12.3334,0.0264,0.65,,
515,3,9,47,,,采样点,-1.5363,-3.19,-12.339,0.0254,0.65,,
516,3,9,48,,,采样点,-1.5605,-3.2558,-12.3442,0.0244,0.65,,
517,3,9,49,,,末节点,-1.5851,-3.3201,-12.3491,0.0234,0.65,,
518,3,9,50,,,控制点1,-0.9028,-0.6035,-12.0631,0.0781,0.65,,
519,3,9,51,,,控制点2,-1.1805,-2.2817,-12.2726,0.0781,0.65,,
